Total time: 1.625352s

p[151].vx: 98.691	p[151].vy: 243.685	p[151].vz: -20.816

p[152].x: -2.285	p[152].y: -6.736	p[152].z: 5.172
p[152].vx: -66.523	p[152].vy: -173.195	p[152].vz: 135.506

p[153].x: -7.577	p[153].y: 4.191	p[153].z: -2.504
p[153].vx: -200.892	p[153].vy: 108.045	p[153].vz: -66.056

p[154].x: -5.144	p[154].y: 8.188	p[154].z: -0.087
p[154].vx: -133.639	p[154].vy: 207.672	p[154].vz: -6.639

p[155].x: 1.833	p[155].y: 6.086	p[155].z: -6.369
p[155].vx: 48.860	p[155].vy: 157.774	p[155].vz: -165.421

p[156].x: 0.527	p[156].y: 3.846	p[156].z: -4.231
p[156].vx: 10.933	p[156].vy: 98.061	p[156].vz: -108.621

p[157].x: -0.837	p[157].y: 7.372	p[157].z: -4.288
p[157].vx: -21.944	p[157].vy: 185.616	p[157].vz: -109.525

p[158].x: 1.059	p[158].y: 4.982	p[158].z: -6.746
p[158].vx: 26.270	p[158].vy: 126.966	p[158].vz: -165.205

p[159].x: -4.478	p[159].y: -6.784	p[159].z: 0.879
p[159].vx: -113.789	p[159].vy: -168.925	p[159].vz: 20.493

p[160].x: 7.097	p[160].y: -2.306	p[160].z: 4.392
p[160].vx: 177.267	p[160].vy: -57.502	p[160].vz: 112.673

p[161].x: -0.088	p[161].y: 5.628	p[161].z: -5.643
p[161].vx: -1.242	p[161].vy: 144.556	p[161].vz: -144.068

p[162].x: 6.587	p[162].y: -5.101	p[162].z: 0.716
p[162].vx: 173.753	p[162].vy: -136.748	p[162].vz: 24.145

p[163].x: 1.489	p[163].y: 5.640	p[163].z: -4.097
p[163].vx: 45.189	p[163].vy: 152.122	p[163].vz: -113.355

p[164].x: 3.599	p[164].y: -9.480	p[164].z: 0.217
p[164].vx: 96.482	p[164].vy: -242.724	p[164].vz: 5.488

p[165].x: -9.374	p[165].y: -2.761	p[165].z: 2.489
p[165].vx: -234.407	p[165].vy: -70.332	p[165].vz: 61.436

p[166].x: -3.595	p[166].y: 6.179	p[166].z: 1.501
p[166].vx: -92.610	p[166].vy: 158.220	p[166].vz: 34.494

p[167].x: -4.850	p[167].y: 0.796	p[167].z: 0.350
p[167].vx: -121.587	p[167].vy: 20.558	p[167].vz: 10.786

p[168].x: -4.572	p[168].y: -0.590	p[168].z: 5.007
p[168].vx: -116.597	p[168].vy: -8.999	p[168].vz: 127.282

p[169].x: -3.746	p[169].y: 5.027	p[169].z: 1.305
p[169].vx: -92.597	p[169].vy: 123.357	p[169].vz: 35.983

p[170].x: -4.907	p[170].y: -6.414	p[170].z: 0.012
p[170].vx: -130.273	p[170].vy: -167.684	p[170].vz: -0.431

p[171].x: -0.125	p[171].y: -4.482	p[171].z: -6.607
p[171].vx: -1.656	p[171].vy: -112.593	p[171].vz: -165.609

p[172].x: 0.486	p[172].y: 9.156	p[172].z: -1.933
p[172].vx: 12.700	p[172].vy: 231.342	p[172].vz: -49.311

p[173].x: 3.082	p[173].y: -7.874	p[173].z: 1.659
p[173].vx: 80.738	p[173].vy: -199.152	p[173].vz: 45.798

p[174].x: -1.538	p[174].y: -5.715	p[174].z: -5.167
p[174].vx: -47.200	p[174].vy: -152.262	p[174].vz: -138.900

p[175].x: -2.518	p[175].y: -4.230	p[175].z: 3.254
p[175].vx: -72.865	p[175].vy: -120.206	p[175].vz: 92.780

p[176].x: -5.352	p[176].y: -2.130	p[176].z: 10.642
p[176].vx: -138.120	p[176].vy: -56.006	p[176].vz: 270.895

p[177].x: -1.228	p[177].y: -7.682	p[177].z: -2.895
p[177].vx: -34.916	p[177].vy: -196.996	p[177].vz: -77.676

p[178].x: 6.184	p[178].y: -7.492	p[178].z: 0.603
p[178].vx: 157.956	p[178].vy: -191.200	p[178].vz: 23.022

p[179].x: -1.884	p[179].y: 3.995	p[179].z: -3.453
p[179].vx: -60.243	p[179].vy: 111.247	p[179].vz: -96.842

p[180].x: -4.094	p[180].y: 4.595	p[180].z: -4.935
p[180].vx: -108.619	p[180].vy: 124.024	p[180].vz: -130.797

p[181].x: 5.345	p[181].y: 3.840	p[181].z: -2.544
p[181].vx: 138.070	p[181].vy: 98.606	p[181].vz: -68.362

p[182].x: -3.531	p[182].y: 3.319	p[182].z: -6.704
p[182].vx: -92.395	p[182].vy: 85.893	p[182].vz: -170.054

p[183].x: -10.157	p[183].y: -2.636	p[183].z: -2.890
p[183].vx: -257.409	p[183].vy: -67.367	p[183].vz: -75.748

p[184].x: 0.988	p[184].y: -6.792	p[184].z: 4.280
p[184].vx: 29.832	p[184].vy: -177.666	p[184].vz: 115.661

p[185].x: 8.438	p[185].y: -6.889	p[185].z: 2.648
p[185].vx: 214.091	p[185].vy: -174.326	p[185].vz: 68.435

p[186].x: 6.614	p[186].y: -3.672	p[186].z: 2.574
p[186].vx: 174.644	p[186].vy: -102.573	p[186].vz: 74.118

p[187].x: -2.563	p[187].y: -6.884	p[187].z: 4.731
p[187].vx: -65.522	p[187].vy: -174.829	p[187].vz: 119.743

p[188].x: 8.033	p[188].y: 3.477	p[188].z: 1.410
p[188].vx: 205.046	p[188].vy: 91.437	p[188].vz: 36.201

p[189].x: -3.030	p[189].y: -8.628	p[189].z: 0.420
p[189].vx: -79.788	p[189].vy: -219.135	p[189].vz: 12.499

p[190].x: 9.220	p[190].y: 0.072	p[190].z: -6.260
p[190].vx: 235.651	p[190].vy: 4.154	p[190].vz: -161.570

p[191].x: 0.802	p[191].y: 3.883	p[191].z: 0.317
p[191].vx: 16.938	p[191].vy: 95.998	p[191].vz: 6.120

p[192].x: -0.345	p[192].y: -2.167	p[192].z: 1.649
p[192].vx: -17.809	p[192].vy: -43.652	p[192].vz: 13.154

p[193].x: -5.074	p[193].y: 0.109	p[193].z: -5.878
p[193].vx: -128.954	p[193].vy: 7.732	p[193].vz: -149.281

p[194].x: 0.062	p[194].y: 19.136	p[194].z: -19.079
p[194].vx: -1.465	p[194].vy: 485.549	p[194].vz: -468.876

